accent,word,yomi,english
ア/ソバス,遊ばす,あそばす,
ア/ソバセル,遊ばせる,あそばせる,
ア/ソビ,遊び,あそび,
ア/ソビア\イテ,遊び相手,あそびあいて,
ア/ソビグセ,遊び癖,あそびぐせ,
ア/ソビゴ\コロ,遊び心,あそびごころ,
ア/ソビズキ,遊び好き,あそびずき,
ア/ソビト\モダチ,遊び友達,あそびともだち,
ア/ソビニン,遊び人,あそびにん,
ア/ソビハ\ンブン,遊び半分,あそびはんぶん,
ア/ソビバ,遊び場,あそびば,
ア/ソブ,遊ぶ,あそぶ,
ア\ソーク,アソーク,あそーく,อโศก
ア/ソ\ーク,アソーク,あそーく,อโศก
ア/タイ,値,あたい,
ア/タイスル,値する,あたいする,
ア/タ\イリク,亜大陸,あたいりく,
ア/タエル,与える,あたえる,
ア\タカモ,恰も,あたかも,
ア/タシ,あたし,あたし,
ア/タタカ\イ,暖かい,あたたかい,
ア/タタカ\イ,温かい,あたたかい,
ア/タタカ\サ,温かさ,あたたかさ,
ア/タタカ\サ,暖かさ,あたたかさ,
ア/タタマ\ル,温まる,あたたまる,
ア/タタメ\ル,温める,あたためる,
ア\タフタ,あたふた,あたふた,
ア/タマ\,頭,あたま,
ア/タ\マ,頭,あたま,
ア/タマキン,頭金,あたまきん,
ア/タラシ\イ,新しい,あたらしい,
ア\タリ,辺り,あたり,
ア/タリ,当たり,あたり,
ア/タリマエ,当たり前,あたりまえ,
ア/タル,当たる,あたる,
ア/ダ\ルト,アダルト,あだると,adult
ア/チ\コチ,彼方此方,あちこち,
ア/チラ,あちら,あちら,
ア/チラコ\チラ,あちらこちら,あちらこちら,
ア/ッカ,悪化,あっか,
ア/ッカン,圧巻,あっかん,
ア/ッケナ\イ,呆気ない,あっけない,
ア/ッサ\リ,あっさり,あっさり,
ア/ッシュク,圧縮,あっしゅく,
ア/ッセン,斡旋,あっせん,
ア/ッタカ\イ,温かい,あったかい,
ア/ッタカ\イ,暖かい,あったかい,
ア/ッタマ\ル,温まる,あったまる,
ア/ッタメ\ル,温める,あっためる,
ア/ッチ\,あっち,あっち,
ア/ッチ\コッチ,あっちこっち,あっちこっち,
ア/ットウ,圧倒,あっとう,
ア/ットウテキ,圧倒的,あっとうてき,
ア/ットホ\ーム,アットホーム,あっとほーむ,at home
ア/ッパク,圧迫,あっぱく,
ア\ップ,アップ,あっぷ,up
ア/ップデ\ート,アップデート,あっぷでーと,update
ア\ップル,アップル,あっぷる,apple
ア/ップル\パイ,アップルパイ,あっぷるぱい,apple pie
ア/ップロ\ード,アップロード,あっぷろーど,upload
