word,kana,yomi,conj,base,nai,nakatta,masu,te,ta,con,imp,vol,pot
気触れる,かぶれる,kabureru,下一段-ラ行,気触れる,気触れない,気触れなかった,気触れます,気触れて,気触れた,気触れれば,気触れろ,気触れよう,気触れられる
構う,かまう,kamau,五段-ワア行,構う,構わない,構わなかった,構います,構って,構った,構えば,構え,構おう,構える
構える,かまえる,kamaeru,下一段-ア行,構える,構えない,構えなかった,構えます,構えて,構えた,構えれば,構えろ,構えよう,構えられる
噛み合う,かみあう,kamiau,五段-ワア行,噛み合う,噛み合わない,噛み合わなかった,噛み合います,噛み合って,噛み合った,噛み合えば,噛み合え,噛み合おう,噛み合える
噛み締める,かみしめる,kamishimeru,下一段-マ行,噛み締める,噛み締めない,噛み締めなかった,噛み締めます,噛み締めて,噛み締めた,噛み締めれば,噛み締めろ,噛み締めよう,噛み締められる
噛み付く,かみつく,kamitsuku,五段-カ行,噛み付く,噛み付かない,噛み付かなかった,噛み付きます,噛み付いて,噛み付いた,噛み付けば,噛み付け,噛み付こう,噛み付ける
噛む,かむ,kamu,五段-マ行,噛む,噛まない,噛まなかった,噛みます,噛んで,噛んだ,噛めば,噛め,噛もう,噛める
醸す,かもす,kamosu,五段-サ行,醸す,醸さない,醸さなかった,醸します,醸して,醸した,醸せば,醸せ,醸そう,醸せる
通う,かよう,kayoo,五段-ワア行,通う,通わない,通わなかった,通います,通って,通った,通えば,通え,通おう,通える
からかう,からかう,karakau,五段-ワア行,からかう,からかわない,からかわなかった,からかいます,からかって,からかった,からかえば,からかえ,からかおう,からかえる
絡まる,からまる,karamaru,五段-ラ行,絡まる,絡まらない,絡まらなかった,絡まります,絡まって,絡まった,絡まれば,絡まれ,絡まろう,絡まれる
絡み合う,からみあう,karamiau,五段-ワア行,絡み合う,絡み合わない,絡み合わなかった,絡み合います,絡み合って,絡み合った,絡み合えば,絡み合え,絡み合おう,絡み合える
絡む,からむ,karamu,五段-マ行,絡む,絡まない,絡まなかった,絡みます,絡んで,絡んだ,絡めば,絡め,絡もう,絡める
搦め取る,からめとる,karametoru,五段-ラ行,搦め取る,搦め取らない,搦め取らなかった,搦め取ります,搦め取って,搦め取った,搦め取れば,搦め取れ,搦め取ろう,搦め取れる
絡める,からめる,karameru,下一段-マ行,絡める,絡めない,絡めなかった,絡めます,絡めて,絡めた,絡めれば,絡めろ,絡めよう,絡められる
借り上げる,かりあげる,kariageru,下一段-ガ行,借り上げる,借り上げない,借り上げなかった,借り上げます,借り上げて,借り上げた,借り上げれば,借り上げろ,借り上げよう,借り上げられる
借り入れる,かりいれる,kariireru,下一段-ラ行,借り入れる,借り入れない,借り入れなかった,借り入れます,借り入れて,借り入れた,借り入れれば,借り入れろ,借り入れよう,借り入れられる
借り受ける,かりうける,kariukeru,下一段-カ行,借り受ける,借り受けない,借り受けなかった,借り受けます,借り受けて,借り受けた,借り受ければ,借り受けろ,借り受けよう,借り受けられる
刈り込む,かりこむ,karikomu,五段-マ行,刈り込む,刈り込まない,刈り込まなかった,刈り込みます,刈り込んで,刈り込んだ,刈り込めば,刈り込め,刈り込もう,刈り込める
借り出す,かりだす,karidasu,五段-サ行,借り出す,借り出さない,借り出さなかった,借り出します,借り出して,借り出した,借り出せば,借り出せ,借り出そう,借り出せる
刈り取る,かりとる,karitoru,五段-ラ行,刈り取る,刈り取らない,刈り取らなかった,刈り取ります,刈り取って,刈り取った,刈り取れば,刈り取れ,刈り取ろう,刈り取れる
借りる,かりる,kariru,上一段-ラ行,借りる,借りない,借りなかった,借ります,借りて,借りた,借りれば,借りろ,借りよう,借りられる
刈る,かる,karu,五段-ラ行,刈る,刈らない,刈らなかった,刈ります,刈って,刈った,刈れば,刈れ,刈ろう,刈れる
枯れる,かれる,kareru,下一段-ラ行,枯れる,枯れない,枯れなかった,枯れます,枯れて,枯れた,枯れれば,枯れろ,枯れよう,枯れられる
軽んじる,かろんじる,karonjiru,上一段-ザ行,軽んじる,軽んじない,軽んじなかった,軽んじます,軽んじて,軽んじた,軽んじれば,軽んじろ,軽んじよう,軽んじられる
乾かす,かわかす,kawakasu,五段-サ行,乾かす,乾かさない,乾かさなかった,乾かします,乾かして,乾かした,乾かせば,乾かせ,乾かそう,乾かせる
乾く,かわく,kawaku,五段-カ行,乾く,乾かない,乾かなかった,乾きます,乾いて,乾いた,乾けば,乾け,乾こう,乾ける
交わす,かわす,kawasu,五段-サ行,交わす,交わさない,交わさなかった,交わします,交わして,交わした,交わせば,交わせ,交わそう,交わせる
買わす,かわす,kawasu,五段-サ行,買わす,買わさない,買わさなかった,買わします,買わして,買わした,買わせば,買わせ,買わそう,買わせる
躱す,かわす,kawasu,五段-サ行,躱す,躱さない,躱さなかった,躱します,躱して,躱した,躱せば,躱せ,躱そう,躱せる
変わる,かわる,kawaru,五段-ラ行,変わる,変わらない,変わらなかった,変わります,変わって,変わった,変われば,変われ,変わろう,変われる
考え直す,かんがえなおす,kangaenaosu,五段-サ行,考え直す,考え直さない,考え直さなかった,考え直します,考え直して,考え直した,考え直せば,考え直せ,考え直そう,考え直せる
考える,かんがえる,kangaeru,下一段-ア行,考える,考えない,考えなかった,考えます,考えて,考えた,考えれば,考えろ,考えよう,考えられる
鑑みる,かんがみる,kangamiru,上一段-マ行,鑑みる,鑑みない,鑑みなかった,鑑みます,鑑みて,鑑みた,鑑みれば,鑑みろ,鑑みよう,鑑みられる
感じ取る,かんじとる,kanjitoru,五段-ラ行,感じ取る,感じ取らない,感じ取らなかった,感じ取ります,感じ取って,感じ取った,感じ取れば,感じ取れ,感じ取ろう,感じ取れる
感じる,かんじる,kanjiru,上一段-ザ行,感じる,感じない,感じなかった,感じます,感じて,感じた,感じれば,感じろ,感じよう,感じられる
冠する,かんする,kansuru,サ行変格,冠する,冠しない,冠しなかった,冠します,冠して,冠した,冠すれば,冠しろ,冠しよう,冠せる
関する,かんする,kansuru,サ行変格,関する,関しない,関しなかった,関します,関して,関した,関すれば,関しろ,関しよう,関せる
害する,がいする,gaisuru,五段-サ行,害する,害すさない,害すさなかった,害すします,害すって,害すった,害すせば,害すせ,害すそう,害すせる
がぶる,がぶる,gaburu,五段-ラ行,がぶる,がぶらない,がぶらなかった,がぶります,がぶって,がぶった,がぶれば,がぶれ,がぶろう,がぶれる
頑張る,がんばる,gambaru,五段-ラ行,頑張る,頑張らない,頑張らなかった,頑張ります,頑張って,頑張った,頑張れば,頑張れ,頑張ろう,頑張れる
消え去る,きえさる,kiesaru,五段-ラ行,消え去る,消え去らない,消え去らなかった,消え去ります,消え去って,消え去った,消え去れば,消え去れ,消え去ろう,消え去れる
消える,きえる,kieru,下一段-ア行,消える,消えない,消えなかった,消えます,消えて,消えた,消えれば,消えろ,消えよう,消えられる
着飾る,きかざる,kikazaru,五段-ラ行,着飾る,着飾らない,着飾らなかった,着飾ります,着飾って,着飾った,着飾れば,着飾れ,着飾ろう,着飾れる
聞かす,きかす,kikasu,五段-サ行,聞かす,聞かさない,聞かさなかった,聞かします,聞かして,聞かした,聞かせば,聞かせ,聞かそう,聞かせる
着替える,きがえる,kigaeru,下一段-ア行,着替える,着替えない,着替えなかった,着替えます,着替えて,着替えた,着替えれば,着替えろ,着替えよう,着替えられる
聞き入る,ききいる,kikiiru,五段-ラ行,聞き入る,聞き入らない,聞き入らなかった,聞き入ります,聞き入って,聞き入った,聞き入れば,聞き入れ,聞き入ろう,聞き入れる
聞き入れる,ききいれる,kikiireru,下一段-ラ行,聞き入れる,聞き入れない,聞き入れなかった,聞き入れます,聞き入れて,聞き入れた,聞き入れれば,聞き入れろ,聞き入れよう,聞き入れられる
聞き出す,ききだす,kikidasu,五段-サ行,聞き出す,聞き出さない,聞き出さなかった,聞き出します,聞き出して,聞き出した,聞き出せば,聞き出せ,聞き出そう,聞き出せる
聞き付ける,ききつける,kikitsukeru,下一段-カ行,聞き付ける,聞き付けない,聞き付けなかった,聞き付けます,聞き付けて,聞き付けた,聞き付ければ,聞き付けろ,聞き付けよう,聞き付けられる
聞き取る,ききとる,kikitoru,五段-ラ行,聞き取る,聞き取らない,聞き取らなかった,聞き取ります,聞き取って,聞き取った,聞き取れば,聞き取れ,聞き取ろう,聞き取れる
聞き直す,ききなおす,kikinaosu,五段-サ行,聞き直す,聞き直さない,聞き直さなかった,聞き直します,聞き直して,聞き直した,聞き直せば,聞き直せ,聞き直そう,聞き直せる
聞き分ける,ききわける,kikiwakeru,下一段-カ行,聞き分ける,聞き分けない,聞き分けなかった,聞き分けます,聞き分けて,聞き分けた,聞き分ければ,聞き分けろ,聞き分けよう,聞き分けられる
利く,きく,kiku,五段-カ行,利く,利かない,利かなかった,利きます,利いて,利いた,利けば,利け,利こう,利ける
聞く,きく,kiku,五段-カ行,聞く,聞かない,聞かなかった,聞きます,聞いて,聞いた,聞けば,聞け,聞こう,聞ける
聞こえる,きこえる,kikoeru,下一段-ア行,聞こえる,聞こえない,聞こえなかった,聞こえます,聞こえて,聞こえた,聞こえれば,聞こえろ,聞こえよう,聞こえられる
刻み込む,きざみこむ,kizamikomu,五段-マ行,刻み込む,刻み込まない,刻み込まなかった,刻み込みます,刻み込んで,刻み込んだ,刻み込めば,刻み込め,刻み込もう,刻み込める
刻む,きざむ,kizamu,五段-マ行,刻む,刻まない,刻まなかった,刻みます,刻んで,刻んだ,刻めば,刻め,刻もう,刻める
